技能名,属性,类型,威力,耗能,效果描述
猛烈撞击,普通,物攻,65,1,对敌方精灵造成物理伤害。
闪光,光,魔攻,60,1,对敌方精灵造成魔法伤害。
防御,普通,防御,0,1,减伤70%，应对攻击。
魔法增效,普通,状态,0,0,自己获得魔攻+70%。
光球,光,魔攻,80,2,对敌方精灵造成魔法伤害。
火焰箭,火,物攻,80,2,对敌方精灵造成物理伤害。
力量增效,普通,状态,0,1,自己获得物攻+100%。
棘突,草,魔攻,100,3,对敌方精灵造成魔法伤害。
潮涌,水,物攻,80,2,对敌方精灵造成物理伤害。
超导,电,魔攻,95,3,造成魔伤，迸发：本技能能耗-1。
闪光冲击,光,物攻,100,3,对敌方精灵造成物理伤害。
漫反射,光,状态,0,1,每种系别中的至多1个技能，威力+35。
冰爪,冰,物攻,80,2,对敌方精灵造成物理伤害。
热砂,地,魔攻,80,2,对敌方精灵造成魔法伤害。
念力膨胀,幻,物攻,80,2,对敌方精灵造成物理伤害。
放晴,光,状态,0,0,光系技能威力永久+50%，应对防御：改为永久+100%。
过曝,光,魔攻,60,3,造成魔伤，每使用过1个其他系别技能，本技能威力永久+30。
光刃,光,物攻,120,4,对敌方精灵造成物理伤害。
折射,光,魔攻,50,4,造成魔伤，携带其他系别技能会给本技能带来不同效果。
星星撞击,普通,魔攻,90,2,对敌方精灵造成魔法伤害。
恶能量,恶,物攻,60,1,对敌方精灵造成物理伤害。
升龙咆哮,龙,魔攻,200,3,蓄力，对敌方造成魔法伤害。
球状闪电,电,物攻,60,1,对敌方精灵造成物理伤害。
缠丝劲,武,物攻,25,1,造成物伤，2连击。
火焰冲锋,火,物攻,60,1,对敌方精灵造成物理伤害。
幻象,幽,物攻,60,1,对敌方精灵造成物理伤害。
花香,草,魔攻,60,1,对敌方精灵造成魔法伤害。
冷风,冰,魔攻,60,1,对敌方精灵造成魔法伤害。
噬心,虫,物攻,60,1,对敌方精灵造成物理伤害。
折线冲击,光,物攻,80,2,对敌方精灵造成物理伤害。
离子震荡,机械,魔攻,90,3,造成魔伤，本技能位于3号位时威力+40，传动1。
魅惑,萌,魔攻,60,1,对敌方精灵造成魔法伤害。
星云漩涡,幻,物攻,60,1,对敌方精灵造成物理伤害。
扬沙,地,物攻,60,1,对敌方精灵造成物理伤害。
溃烂触碰,毒,物攻,60,1,对敌方精灵造成物理伤害。
泡沫,水,物攻,60,1,对敌方精灵造成物理伤害。
鹰爪,翼,物攻,60,1,对敌方精灵造成物理伤害。
借用,普通,状态,0,0,每回合随机变成己方队伍中其他精灵的技能。
坍缩,幻,魔攻,85,3,造成魔伤，若击败敌方，自己获得魔攻+70%。
天洪,水,魔攻,150,7,造成魔伤，应对状态：本技能能耗永久-6。
寒风吹,冰,魔攻,70,3,造成魔伤，敌方获得魔防-50%。
怒火,火,状态,0,1,自己获得双攻+120%和双防-40%。
抽枝,草,物攻,90,4,造成物伤，应对状态：自己回复50%生命和5能量。
有效预防,普通,防御,0,1,减伤50%，应对攻击：下一次行动获得先手+1。
气泡,水,魔攻,100,3,对敌方精灵造成魔法伤害。
氧输送,草,状态,0,2,自己回复4能量，并获得魔攻+70%。
润泽,水,状态,0,7,自己获得魔攻+190%。
炎打,火,魔攻,95,2,造成高额魔法伤害，自己获得物防-40%。
电弧,电,物攻,80,3,造成物伤，迸发：本次技能威力+40。
藤绞,草,物攻,80,4,造成物伤，自己回复5能量。
跺地,地,物攻,80,2,对敌方精灵造成物理伤害。
闪燃,火,物攻,40,1,造成物伤，应对状态：本次技能威力变为4倍。
抓挠,普通,物攻,35,0,造成物伤，自己回复1能量。
休息回复,普通,状态,0,2,自己回复30%生命。
扫尾,普通,物攻,90,2,对敌方精灵造成物理伤害。
徒长,草,状态,0,2,自己回复10能量。
叶绿光束,草,魔攻,120,4,对敌方精灵造成魔法伤害。
酶浓度调整,草,防御,0,3,减伤80%，应对攻击：自己回复20%生命。
筛管奔流,草,物攻,80,3,造成物伤，自己生命大于80%时，本次技能威力+75。
盛开,草,状态,0,1,自己获得全技能威力+30，应对防御：改为威力+60。
孢子,草,状态,0,3,敌方获得1层寄生。
仙人掌刺击,草,物攻,150,6,对敌方精灵造成物理伤害。
丰饶,草,状态,0,3,自己获得物攻和魔攻+140%。
光合作用,草,状态,0,4,自己获得1层光合印记。
光能聚集,草,魔攻,100,7,造成魔伤，每次使用其他草系技能后，本技能威力永久+60。
贪婪,恶,状态,0,2,自己获得100%吸血。
麻痹,电,状态,0,2,敌方先手-1，应对防御：额外使敌方获得双攻-70%。
化劲,武,状态,0,2,自己获得全技能威力+40。
引燃,火,状态,0,2,敌方获得10层灼烧。
勾魂,幽,状态,0,1,偷取敌方3能量。
荆棘爪,草,物攻,80,2,对敌方精灵造成物理伤害。
霜降,冰,状态,0,1,敌方获得4层冻结。
假寐,虫,状态,0,2,自己回复2能量，己方队伍获得1次奉献：能耗-2。
虹光冲击,光,魔攻,100,3,对敌方精灵造成魔法伤害。
啮合传递,机械,状态,0,1,自己获得速度+80，本技能位于1号或3号位时额外获得物攻+60%，传动1。
甜心续航,萌,状态,0,3,自己和敌方获得萌化：回复40%生命和4能量。
超维投射,幻,状态,0,4,敌方获得4层星陨印记。
泥浆铠甲,地,状态,0,2,自己获得物攻和物防+60%，应对防御：额外使自己的增益翻倍。
蓄水,水,状态,0,1,下次使用的技能能耗-6。
羽化加速,翼,状态,0,2,自己获得全技能威力+20，迅捷。
剧毒,毒,状态,0,2,敌方获得3层中毒，应对防御：改为获得8层。
天光,光,魔攻,95,3,造成魔伤，本技能系别和天气系别相同。
应激反应,普通,状态,0,2,自己回复25%生命，应对防御：改为回复50%生命。
摇篮曲,普通,状态,0,5,敌方获得全技能能耗+3，应对防御：额外造成打断，且敌方下回合获得眩晕。
晒太阳,普通,状态,0,1,驱散敌方所有增益。
毒孢子,毒,状态,0,3,敌方获得5层中毒。
毒沼,毒,物攻,80,2,对敌方精灵造成物理伤害。
瘴气喷射,毒,魔攻,100,3,对敌方精灵造成魔法伤害。
移花接木,草,状态,0,2,自己回复15%生命，随后脱离。
精神扰乱,普通,状态,0,0,敌方获得全技能能耗+1，应对防御：改为能耗+3。
纤维化,草,防御,0,2,减伤80%，应对攻击：自己获得物防+70%。
腐化,毒,状态,0,1,敌方每有1层中毒效果，敌方获得双攻-30%。
腐蚀酸液,毒,魔攻,35,2,造成魔伤，敌方获得2层中毒。
透射,光,物攻,60,1,对敌方精灵造成物理伤害。
重击,普通,物攻,110,2,造成物伤，每次使用后，本技能能耗永久+1。
火苗,火,物攻,30,0,造成物伤，自己回复1能量。
火焰切割,火,物攻,100,3,对敌方精灵造成物理伤害。
吹火,火,物攻,50,1,造成物伤，每次使用后，本技能威力永久+20。
持续高温,火,魔攻,70,2,造成魔伤，应对状态：下次攻击技能威力翻倍。
火云车,火,物攻,140,5,对敌方精灵造成物理伤害。
热身,火,状态,0,1,下一次攻击时，技能威力翻倍，应对防御：改为威力变为4倍。
山火,火,物攻,15,3,造成物伤，每使用1次其他火系技能，本技能威力永久翻倍。
灵媒,幽,魔攻,100,3,对敌方精灵造成魔法伤害。
械斗,机械,物攻,45,1,造成物伤，本技能位于1号位时威力+60，传动1。
碰爪,萌,物攻,60,1,对敌方精灵造成物理伤害。
乘风,翼,状态,0,2,自己获得速度+120。
力量吞噬,恶,状态,0,4,敌方获得全技能威力-20，自己获得全技能威力+20。
压扁,普通,物攻,155,5,对敌方精灵造成物理伤害。
复写,普通,状态,0,0,每回合随机变成自己未携带的技能，且该技能能耗-2。
扇风,翼,物攻,75,3,造成物伤，若先于敌方攻击，本次技能威力+50%。
暗突袭,恶,物攻,70,4,造成物伤，吸血50%，应对状态：本次技能威力翻倍。
诋毁,恶,物攻,80,2,对敌方精灵造成物理伤害。
