id,title,type,author,author_link,blood_magic,uploaded_at,last_updated,intro,pokemon_1,bloodline_1,nature_1,talents_1,skills_1,pokemon_2,bloodline_2,nature_2,talents_2,skills_2,pokemon_3,bloodline_3,nature_3,talents_3,skills_3,pokemon_4,bloodline_4,nature_4,talents_4,skills_4,pokemon_5,bloodline_5,nature_5,talents_5,skills_5,pokemon_6,bloodline_6,nature_6,talents_6,skills_6,parse_ok,warnings
052cc9dc6cb40173db2aa2c44b2c81d3,三首领放空大脑队,pvp,小火炉,,进化之力,2026-5-6,2026-5-6,放空大脑尽量别博弈，三首领按到死，纯粹一点,白金独角兽,首领,胆小,"生命,魔攻,速度",折射;回旋风暴;气泡;追打,冰钻布鲁斯,地,固执,"生命,物攻,速度",冰雹;先发制人;有效预防;跺地,黑猫巫师,首领,胆小,"生命,魔攻,速度",嗜痛;乱打;羽化加速;午夜噪音,寂灭骨龙,光,平和,"生命,物防,魔防",隼鳞;吓退;偷袭;先发制人,音速犬,首领,开朗,"生命,物攻,速度",热身;焚烧烙印;灼伤;跌落,圆号鱼,翼,沉默,"生命,物防,魔防",打湿;水炮;羽化加速;棘刺,True,
0c4a56e20142767d1be32461465fdb0e,暂定,pvp,mokuyo,,进化之力,2026-5-5,2026-5-5,没,彩蝶鲨,首领,胆小,"生命,魔攻,速度",翼击;贮藏;寒风吹;天洪,锤头鹳,幽,平和,"生命,物攻,物防",潮涌;虚假破产;勾魂;取念,叮叮恶魔,武,固执,"生命,物攻,速度",缠丝劲;乘风;羽化加速;撕咬,红绒十字,地,保守,"生命,魔攻,速度",引燃;焚烧烙印;泥浆铠甲;除厄,圣剑-X,首领,平和,"生命,物攻,速度",齿轮扭矩;啮合传递;休息回复;齿轮切开,石冠王蜥（本来的样子）,翼,平和,"生命,物防,魔防",风墙;地刺;复写;冲撞,True,
8f6d55a8cfdeb7ec72f171aeab805965,洛神杯宝马队,pvp,西山君,,进化之力,2026-5-5,2026-5-5,洛神杯百分百胜率配队,白金独角兽,水,胆小,"生命,魔攻,速度",折射;气泡;追打;回旋风暴,蹦床松鼠,冰,紧张,"生命,物防,魔防",雪替身;热身运动;追打;休息回复,黑猫巫师,武,保守,"生命,魔攻,速度",羽化加速;午夜噪音;乱打;嗜痛,寂灭骨龙,电,平和,"生命,物攻,物防",隼鳞;吓退;降灵;偷袭,利灯鱼,幽,胆小,"生命,魔攻,速度",落雷;倾泻;灵媒;水光冲击,圣剑-X,电,固执,"生命,物攻,物防",啮合传递;齿轮扭矩;先发制人;齿轮切开,True,
04835ae2d5d344ab7175551576d58a11,地武,pvp,moemu,,进化之力,2026-5-4,2026-5-4,数值美,布克棱岩,首领,固执,"生命,物攻,物防",地刺;后发制人;力量增效;遁地,巨噬针鼹,普通,固执,"生命,物攻,物防",吞噬;地刺;先发制人;力量增效,瞌睡王,普通,固执,"生命,物攻,物防",一拳;能量刃;力量增效;有效预防,圣剑-X,首领,平和,"生命,物攻,物防",齿轮切开;鸣沙陷阱;轴承支撑;应激反应,食尘短绒,翼,平和,"生命,物防,魔防",地刺;沙涌;棘刺;风墙,针叶巡林,冰,固执,"生命,物攻,物防",光合作用;截拳;地刺;防御,True,
bfaf6d20f80bb4df5830f10066158066,狮鹫,pvp,dori,,进化之力,2026-5-4,2026-5-4,光よ,黑猫巫师,首领,保守,"生命,魔攻,速度",魔能爆;彗星;魔法增效;嗜痛,皇家狮鹫（高山地的样子）,翼,开朗,"生命,物攻,速度",羽化加速;三连破;光之矛;缠丝劲,帕帕斯卡,机械,固执,"生命,物攻,速度",钢铁洪流;轴承支撑;俯冲猛击;热身运动,圣剑-X,首领,平和,"生命,物攻,物防",齿轮切开;鸣沙陷阱;轴承支撑;休息回复,圣羽翼王,翼,开朗,"生命,物攻,速度",热身运动;三连破;光之矛;疾风连袭,音速犬,首领,开朗,"生命,物攻,速度",灼伤;闪光冲击;吞噬;力量增效,True,
d08a48980520382225e4185cc4f5f8e8,星陨狼王队,pvp,饼饼酱,,进化之力,2026-5-4,2026-5-4,科研,怖哭菇,幻,沉默,"生命,物防,魔防",错乱;冥想;复写;吓退,恶魔狼,首领,开朗,"生命,物攻,速度",蝙蝠;火焰切割;有效预防;力量增效,卡瓦重（雪山附近的样子）,冰,胆小,"生命,物攻,速度",顶端优势;速冻;冰雹;晒太阳,龙息帕尔,恶,固执,"生命,物攻,速度",蝙蝠;极限撕裂;恶念交换;先发制人,落陨星兔,武,胆小,"生命,魔攻,速度",多维击打;化劲;有效预防;嘲弄,暮星辰,幻,胆小,"生命,魔攻,速度",魔法增效;翼击;坍缩;防御,True,
fb78df4d2886b09d45dee2d2113bcaa0,雪天星陨队,pvp,小红帽,,进化之力,2026-5-4,2026-5-4,雪天星陨,怖哭菇,幻,沉默,"生命,物防,魔防",冥想;错乱;休息回复;吓退,尖嘴狐仙,幻,平和,"生命,物防,魔防",超维投射;冰墙;焚烧烙印;高温回火,龙息帕尔,武,固执,"生命,物防,魔防",力量增效;蝙蝠;先发制人;火云车,暮星辰,幻,胆小,"生命,魔攻,速度",翼击;二律背反;回旋风暴;风隐,权杖-Ⅴ,幻,平和,"生命,物防,魔防",联动装置;超维投射;无畏之心;冰晶坠,雪影娃娃,首领,平和,"生命,物防,魔防",生日蛋糕;暴风雪;二律背反;甜心续航,True,
8120be6db40b834345e6394f774e4510,11,pvp,emzxhyb,,进化之力,2026-5-3,2026-5-3,11,黑猫巫师,首领,保守,"生命,魔攻,速度",乱打;午夜噪音;羽化加速;嗜痛,火神,首领,开朗,"生命,物攻,速度",吹火;火云车;暗突袭;防御,尖嘴狐仙,冰,胆小,"生命,魔攻,速度",焚烧烙印;火焰护盾;冰点;高温回火,抹茶布丁,草,保守,"生命,魔攻,速度",叶绿光束;水炮;捧杀;泡沫幻影,兽花蕾,萌,平和,"生命,物防,魔防",顶端优势;退化;移花接木;飞羽,伊兰亚龙,龙,胆小,"生命,物防,速度",绵里藏针;氧输送;防御;移花接木,True,
1e921d5393ac38cd36b69878ac5c9057,平衡,pvp,猫猫没有烦恼,,进化之力,2026-5-2,2026-5-2,面对主流队伍，都有一战之力,黑猫巫师,首领,胆小,"生命,魔攻,速度",嗜痛;彗星;魔能爆;魔法增效,化蝶（平常的样子）,火,开朗,"生命,物攻,速度",掩护;引燃;破罐破摔;闪击,寂灭骨龙,冰,固执,"生命,物攻,速度",隼鳞;电弧;借用;雪替身,尖嘴狐仙,普通,紧张,"生命,物防,魔防",火焰护盾;暴风雪;焚烧烙印;高温回火,岚鸟（春天的样子）,首领,开朗,"生命,物攻,速度",闪击;筛管奔流;水刃;撕咬,圣剑-X,首领,悠闲,"生命,物防,魔防",鸣沙陷阱;啮合传递;齿轮扭矩;主轴,True,
8b2f22f8fc826a196f069fd90c1adf2b,平衡队,pvp,栀,,强化术,2026-5-2,2026-5-2,博弈拉满,波多西,萌,平和,"生命,物攻,魔防",地刺;啮合传递;吓退;齿轮切开,瞌睡王,恶,固执,"生命,物攻,魔防",斩断;有效预防;能量刃;气沉丹田,獠牙猪,火,固执,"生命,物攻,物防",地刺;力量增效;冰晶坠;丢冰块,落陨星兔,武,胆小,"生命,魔攻,速度",魔法增效;吓退;大爆炸;恐吓,水泡壳（蜕皮时的样子）,翼,沉默,"生命,物防,魔防",风墙;叠势;洗礼;水炮,芋香巨角蛛,水,沉默,"生命,魔攻,速度",防御;快速移动;以毒攻毒;毒液渗透,True,
